06/04/2023 10:56:48, Changed, C:\notebookExtractsLink\textewwwwwww.txt
06/17/2023 09:13:35, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:35, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:40, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:40, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:40, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:40, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:45, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:45, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:45, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:45, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:50, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:50, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:50, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:50, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:55, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:55, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:55, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:13:55, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:00, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:00, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:00, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:00, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:05, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:05, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:05, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:41, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:41, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:41, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:41, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:46, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:46, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:46, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:46, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:51, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:51, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:51, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:51, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:56, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:56, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:56, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:14:56, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:01, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:01, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:01, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:01, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:41, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:41, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:41, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:41, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:46, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:46, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:46, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:46, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:51, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:51, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:51, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:51, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:56, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:56, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:56, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:15:56, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:01, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:01, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:01, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:01, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:06, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:11, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:16, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:21, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:26, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:31, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:36, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:42, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:42, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:42, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:42, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:47, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:47, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:47, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:47, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:52, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:52, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:52, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:52, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:57, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:57, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:57, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:16:57, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:17:02, Changed, C:\notebookExtractsLink\Will this work_.txt
06/17/2023 09:17:02, Changed, C:\notebookExtractsLink\Will this work_.txt
